0;12;[5]
0;2;[6,0,5]
0;1;[4,0,3]
0;11;[5]
0;7;[16,3,15]
0;8;[17,3,18]
0;15;[7,16,3]
0;18;[8,3,17]
1;8;[3,17,18]
1;11;[5]
1;1;[3,0,4]
1;2;[0,6,5]
1;7;[16,3,15]
1;12;[5]
1;18;[3,17,8]
1;15;[3,16,7]
2;18;[3,17,8]
2;15;[3,7,16]
2;8;[3,17,18]
2;11;[5]
2;1;[4,0,3]
2;2;[0,6,5]
2;7;[3,15,16]
2;12;[5]
3;18;[8,17,3]
3;8;[17,18,3]
3;11;[5]
3;1;[0,3,4]
3;2;[0,5,6]
3;12;[5]
3;15;[16,3,7]
3;7;[3,16,15]
4;8;[3,17,18]
4;11;[5]
4;1;[4,0,3]
4;2;[5,0,6]
4;7;[16,3,15]
4;12;[5]
4;18;[17,3,8]
4;15;[3,16,7]
5;18;[3,8,17]
5;8;[18,17,3]
5;11;[5]
5;1;[0,3,4]
5;2;[6,0,5]
5;7;[16,3,15]
5;12;[5]
5;15;[16,3,7]
6;18;[3,8,17]
6;8;[17,3,18]
6;11;[5]
6;1;[0,3,4]
6;2;[5,6,0]
6;7;[16,3,15]
6;12;[5]
6;15;[16,3,7]
7;11;[5]
7;1;[3,4,0]
7;2;[0,5,6]
7;12;[5]
7;18;[17,3,8]
7;15;[16,3,7]
7;8;[3,17,18]
7;7;[3,16,15]
8;11;[5]
8;1;[3,0,4]
8;2;[0,6,5]
8;7;[3,16,15]
8;12;[5]
8;18;[17,3,8]
8;15;[16,3,7]
8;8;[3,17,18]
9;11;[5]
9;1;[0,4,3]
9;2;[6,0,5]
9;12;[5]
9;15;[3,16,7]
9;18;[3,17,8]
9;7;[3,16,15]
9;8;[3,17,18]
10;11;[5]
10;1;[4,3,0]
10;2;[5,0,6]
10;7;[16,3,15]
10;12;[5]
10;18;[3,17,8]
10;15;[16,3,7]
10;8;[3,17,18]
11;15;[16,3,7]
11;11;[5]
11;1;[3,0,4]
11;2;[5,0,6]
11;7;[3,16,15]
11;12;[5]
11;18;[17,3,8]
11;8;[3,17,18]
12;18;[8,17,3]
12;8;[3,18,17]
12;11;[5]
12;1;[0,3,4]
12;2;[6,5,0]
12;7;[3,16,15]
12;12;[5]
12;15;[16,3,7]
13;11;[5]
13;1;[0,3,4]
13;2;[6,5,0]
13;7;[16,3,15]
13;12;[5]
13;18;[3,17,8]
13;15;[3,16,7]
13;8;[17,3,18]
14;18;[17,3,8]
14;15;[16,7,3]
14;8;[17,18,3]
14;11;[5]
14;1;[0,4,3]
14;2;[0,5,6]
14;7;[16,15,3]
14;12;[5]
15;18;[3,17,8]
15;15;[3,7,16]
15;8;[17,3,18]
15;11;[5]
15;1;[0,3,4]
15;2;[5,6,0]
15;7;[15,16,3]
15;12;[5]
16;15;[3,7,16]
16;8;[3,17,18]
16;11;[5]
16;1;[0,3,4]
16;2;[0,5,6]
16;7;[15,3,16]
16;12;[5]
16;18;[3,17,8]
17;11;[5]
17;1;[0,3,4]
17;2;[6,5,0]
17;7;[16,3,15]
17;12;[5]
17;18;[3,17,8]
17;15;[16,3,7]
17;8;[17,3,18]
18;18;[3,17,8]
18;8;[17,3,18]
18;11;[5]
