0;8;[18,3,17]
0;15;[7]
0;1;[3,0,4]
0;0;[2,1]
0;14;[6]
0;5;[11,2,12]
0;11;[5,2,12]
0;12;[5,2,11]
1;14;[6]
1;0;[2,1]
1;1;[4,3,0]
1;15;[7]
1;8;[18,17,3]
1;12;[11,5,2]
1;5;[2,12,11]
1;11;[12,2,5]
2;14;[6]
2;15;[7]
2;8;[3,17,18]
2;0;[2,1,4,3]
2;12;[2,5,11]
2;11;[12,2,5]
2;1;[4,3,0,2]
2;5;[11,2,12]
3;14;[6]
3;1;[2,3,4,0]
3;15;[7]
3;8;[18,17,3]
3;5;[11,2,12]
3;0;[2,3,4,1]
3;11;[2,5,12]
3;12;[5,2,11]
4;14;[6]
4;0;[3,4,1,2]
4;1;[0,3,4,2]
4;15;[7]
4;8;[3,17,18]
4;12;[5,2,11]
4;5;[2,12,11]
4;11;[2,5,12]
5;14;[6]
5;0;[2,4,3,1]
5;1;[0,4,2,3]
5;15;[7]
5;8;[3,18,17]
5;11;[5,2,12]
5;12;[11,2,5]
5;5;[2,12,11]
6;14;[6]
6;15;[7]
6;8;[18,3,17]
6;0;[3,2,4,1]
6;1;[4,3,2,0]
6;11;[2,12,5]
6;12;[2,5,11]
6;5;[2,11,12]
7;14;[6]
7;0;[3,4,1,2]
7;1;[0,2,4,3]
7;15;[7]
7;8;[3,18,17]
7;11;[12,2,5]
7;12;[2,11,5]
7;5;[2,12,11]
8;14;[6]
8;0;[1,2,4,3]
8;1;[4,3,2,0]
8;15;[7]
8;8;[17,3,18]
8;11;[2,12,5]
8;12;[2,5,11]
8;5;[2,11,12]
9;14;[6]
9;0;[3,1,2,4]
9;1;[0,3,4,2]
9;15;[7]
9;8;[18,17,3]
9;11;[2,12,5]
9;12;[2,5,11]
9;5;[11,2,12]
10;11;[12,5,2]
10;14;[6]
10;1;[3,2,4,0]
10;15;[7]
10;8;[17,18,3]
10;12;[5,2,11]
10;5;[11,12,2]
10;0;[4,2,3,1]
11;14;[6]
11;0;[1,4,2,3]
11;1;[2,3,4,0]
11;15;[7]
11;8;[18,3,17]
11;11;[5,2,12]
11;12;[2,5,11]
11;5;[2,11,12]
12;14;[6]
12;0;[4,3,1,2]
12;1;[0,2,4,3]
12;15;[7]
12;8;[18,17,3]
12;11;[2,12,5]
12;12;[2,11,5]
12;5;[2,12,11]
13;14;[6]
13;15;[7]
13;8;[17,3,18]
13;0;[3,4,2,1]
13;11;[12,2,5]
13;12;[2,11,5]
13;1;[4,2,3,0]
13;5;[2,12,11]
14;14;[6]
14;0;[3,4,1,2]
14;1;[0,3,2,4]
14;15;[7]
14;8;[3,18,17]
14;5;[12,11,2]
14;11;[5,2,12]
14;12;[5,2,11]
15;14;[6]
15;0;[4,3,1,2]
15;1;[3,4,2,0]
15;15;[7]
15;8;[18,3,17]
15;11;[5,2,12]
15;12;[2,5,11]
15;5;[2,12,11]
16;14;[6]
16;15;[7]
16;8;[18,17,3]
16;12;[2,11,5]
16;5;[2,12,11]
16;0;[2,4,3,1]
16;11;[12,2,5]
16;1;[3,2,4,0]
17;14;[6]
17;15;[7]
17;8;[18,17,3]
17;0;[3,4,2,1]
17;11;[12,2,5]
17;12;[2,11,5]
17;1;[3,2,4,0]
17;5;[2,12,11]
18;14;[6]
18;0;[4,1,3,2]
18;1;[2,4,0,3]
18;15;[7]
18;8;[17,3,18]
18;12;[5,2,11]
18;5;[2,11,12]
18;11;[5,2,12]
19;14;[6]
19;15;[7]
19;8;[3,17,18]
19;0;[4,3,2,1]
19;11;[2,12,5]
19;12;[2,11,5]
19;1;[4,2,3,0]
19;5;[2,12,11]
20;11;[5,2,12]
20;14;[6]
20;0;[4,1,3,2]
20;1;[4,2,3,0]
20;15;[7]
20;8;[17,3,18]
20;5;[2,11,12]
20;12;[2,5,11]
21;14;[6]
21;0;[4,3,2,1]
21;1;[2,4,3,0]
21;15;[7]
21;8;[17,3,18]
21;11;[2,12,5]
21;12;[2,11,5]
21;5;[2,12,11]
22;14;[6]
22;15;[7]
22;8;[17,18,3]
22;12;[5,2,11]
22;0;[3,4,2,1]
22;1;[2,3,4,0]
22;11;[12,2,5]
22;5;[2,11,12]
23;14;[6]
23;1;[4,2,3,0]
23;15;[7]
23;8;[18,3,17]
23;12;[2,11,5]
23;5;[2,12,11]
23;0;[3,2,4,1]
23;11;[5,2,12]
24;11;[12,2,5]
24;14;[6]
24;15;[7]
24;8;[17,18,3]
24;0;[3,4,2,1]
24;12;[2,11,5]
24;1;[3,2,4,0]
24;5;[2,12,11]
25;11;[2,5,12]
25;14;[6]
25;0;[1,4,2,3]
25;1;[0,4,2,3]
25;15;[7]
25;8;[3,18,17]
25;12;[5,2,11]
25;5;[2,11,12]
26;14;[6]
26;0;[3,1,2,4]
26;1;[2,4,3,0]
26;15;[7]
26;8;[17,18,3]
26;12;[2,11,5]
26;11;[2,5,12]
26;5;[2,12,11]
27;14;[6]
27;1;[3,4,2,0]
27;15;[7]
27;8;[18,3,17]
27;0;[2,3,4,1]
27;11;[2,5,12]
27;12;[2,5,11]
27;5;[11,2,12]
28;14;[6]
28;0;[3,4,1,2]
28;1;[0,2,4,3]
28;15;[7]
